# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 21 12:50:46 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_cbflag:      Planet Circumbinary Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,52.000000,6.000000,-6.000000,0,,,,,0,W. M. Keck Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,156.000000,10.000000,-10.000000,0,,,,,0,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,15.000000,,,0,,,,,0,Hubble Space Telescope
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,46.000000,5.000000,-5.000000,0,,,,,0,Paranal Observatory
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0.920000,0.020000,-0.020000,0,,,,,1,Kepler
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,,,,,0.260000,0.060000,-0.060000,0,0,W. M. Keck Observatory
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,230.000000,20.000000,-20.000000,0,,,,,0,W. M. Keck Observatory
30 Ari B,b,30 Ari B b,Radial Velocity,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,0,Thueringer Landessternwarte Tautenburg
4 UMa,b,4 UMa b,Radial Velocity,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,0,Thueringer Landessternwarte Tautenburg
42 Dra,b,42 Dra b,Radial Velocity,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,0,Thueringer Landessternwarte Tautenburg
47 UMa,b,47 UMa b,Radial Velocity,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,0,Lick Observatory
47 UMa,c,47 UMa c,Radial Velocity,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,0,Lick Observatory
47 UMa,d,47 UMa d,Radial Velocity,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,0,Lick Observatory
51 Eri,b,51 Eri b,Imaging,12.000000,4.000000,-2.000000,0,0.450000,0.100000,-0.150000,0,0,Gemini Observatory
51 Peg,b,51 Peg b,Radial Velocity,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,0,Haute-Provence Observatory
55 Cnc,b,55 Cnc b,Radial Velocity,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,0,Lick Observatory
55 Cnc,c,55 Cnc c,Radial Velocity,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,0,McDonald Observatory
55 Cnc,d,55 Cnc d,Radial Velocity,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,0,Lick Observatory
55 Cnc,e,55 Cnc e,Radial Velocity,0.015440,0.000090,-0.000090,0,,,,0,0,McDonald Observatory
55 Cnc,f,55 Cnc f,Radial Velocity,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,0,Multiple Observatories
6 Lyn,b,6 Lyn b,Radial Velocity,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,0,Okayama Astrophysical Observatory
61 Vir,b,61 Vir b,Radial Velocity,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,0,Multiple Observatories
61 Vir,c,61 Vir c,Radial Velocity,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,0,Multiple Observatories
61 Vir,d,61 Vir d,Radial Velocity,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,0,Multiple Observatories
7 CMa,b,7 CMa b,Radial Velocity,1.758000,0.024000,-0.001000,0,0.060000,0.030000,-0.030000,0,0,Anglo-Australian Telescope
7 CMa,c,7 CMa c,Radial Velocity,2.153000,0.003000,-0.080000,0,0.080000,0.050000,-0.040000,0,0,Multiple Observatories
70 Vir,b,70 Vir b,Radial Velocity,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,0,Lick Observatory
75 Cet,b,75 Cet b,Radial Velocity,2.100000,,,0,0.117000,0.048000,-0.048000,0,0,Okayama Astrophysical Observatory
8 UMi,b,8 UMi b,Radial Velocity,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,0,Bohyunsan Optical Astronomical Observatory
81 Cet,b,81 Cet b,Radial Velocity,2.500000,,,0,0.206000,0.029000,-0.029000,0,0,Okayama Astrophysical Observatory
91 Aqr,b,91 Aqr b,Radial Velocity,0.700000,,,0,0.027000,0.026000,-0.026000,0,0,Lick Observatory
AB Pic,b,AB Pic b,Imaging,260.000000,,,0,,,,,0,Paranal Observatory
BD+03 2562,b,BD+03 2562 b,Radial Velocity,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,0,Multiple Observatories
BD+14 4559,b,BD+14 4559 b,Radial Velocity,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,0,McDonald Observatory
BD+15 2375,b,BD+15 2375 b,Radial Velocity,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,0,Roque de los Muchachos Observatory
BD+15 2940,b,BD+15 2940 b,Radial Velocity,0.539000,,,0,0.260000,0.100000,-0.100000,0,0,McDonald Observatory
BD+20 2457,b,BD+20 2457 b,Radial Velocity,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,0,McDonald Observatory
BD+20 2457,c,BD+20 2457 c,Radial Velocity,2.010000,,,0,0.180000,0.060000,-0.060000,0,0,McDonald Observatory
BD+20 274,b,BD+20 274 b,Radial Velocity,1.300000,,,0,0.210000,0.060000,-0.060000,0,0,McDonald Observatory
BD+20 594,b,BD+20 594 b,Transit,,,,0,0.000000,,,0,0,K2
BD+48 738,b,BD+48 738 b,Radial Velocity,1.000000,,,0,0.200000,0.100000,-0.100000,0,0,McDonald Observatory
BD+48 740,b,BD+48 740 b,Radial Velocity,1.700000,0.100000,-0.100000,0,0.760000,0.050000,-0.090000,0,0,Multiple Observatories
BD+49 828,b,BD+49 828 b,Radial Velocity,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,0,McDonald Observatory
BD-06 1339,b,BD-06 1339 b,Radial Velocity,0.042800,0.000700,-0.000700,0,0.000000,,,0,0,La Silla Observatory
BD-06 1339,c,BD-06 1339 c,Radial Velocity,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,0,La Silla Observatory
BD-08 2823,b,BD-08 2823 b,Radial Velocity,0.060000,0.000000,0.000000,0,0.150000,0.150000,-0.150000,0,0,La Silla Observatory
BD-08 2823,c,BD-08 2823 c,Radial Velocity,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,0,La Silla Observatory
BD-10 3166,b,BD-10 3166 b,Radial Velocity,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,0,W. M. Keck Observatory
BD-11 4672,b,BD-11 4672 b,Radial Velocity,2.280000,0.070000,-0.070000,0,0.050000,0.060000,-0.040000,0,0,La Silla Observatory
BD-13 2130,b,BD-13 2130 b,Radial Velocity,1.660000,0.120000,-0.120000,0,0.210000,0.070000,-0.070000,0,0,La Silla Observatory
BD-17 63,b,BD-17 63 b,Radial Velocity,1.340000,0.020000,-0.020000,0,0.540000,0.005000,-0.005000,0,0,La Silla Observatory
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2.600000,0.300000,-0.300000,0,,,,,0,W. M. Keck Observatory
CHXR 73,b,CHXR 73 b,Imaging,210.000000,,,0,,,,,0,Hubble Space Telescope
CI Tau,b,CI Tau b,Radial Velocity,,,,0,0.250000,0.160000,-0.160000,0,0,Multiple Observatories
CT Cha,b,CT Cha b,Imaging,440.000000,,,0,,,,,0,Paranal Observatory
CoRoT-1,b,CoRoT-1 b,Transit,,,,,0.000000,,,0,0,CoRoT
CoRoT-10,b,CoRoT-10 b,Transit,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,0,CoRoT
CoRoT-11,b,CoRoT-11 b,Transit,0.043600,0.005000,-0.005000,0,0.000000,,,0,0,CoRoT
CoRoT-12,b,CoRoT-12 b,Transit,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,0,CoRoT
CoRoT-13,b,CoRoT-13 b,Transit,0.051000,0.003100,-0.003100,0,0.000000,,,0,0,CoRoT
CoRoT-14,b,CoRoT-14 b,Transit,0.027000,0.002000,-0.002000,0,0.000000,,,0,0,CoRoT
CoRoT-16,b,CoRoT-16 b,Transit,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,0,CoRoT
CoRoT-17,b,CoRoT-17 b,Transit,0.046100,0.000800,-0.000800,0,0.000000,,,0,0,CoRoT
CoRoT-18,b,CoRoT-18 b,Transit,0.029500,0.001600,-0.001600,0,0.080000,,,1,0,CoRoT
CoRoT-19,b,CoRoT-19 b,Transit,0.051800,0.000800,-0.000800,0,0.047000,0.045000,-0.045000,0,0,CoRoT
CoRoT-2,b,CoRoT-2 b,Transit,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,0,CoRoT
CoRoT-20,b,CoRoT-20 b,Transit,0.090000,0.002000,-0.002000,0,0.590000,0.020000,-0.020000,0,0,CoRoT
CoRoT-20,c,CoRoT-20 c,Radial Velocity,2.900000,0.070000,-0.070000,0,0.600000,0.030000,-0.030000,0,0,Multiple Observatories
CoRoT-21,b,CoRoT-21 b,Transit,0.041700,0.001100,-0.001100,0,0.000000,,,0,0,CoRoT
CoRoT-22,b,CoRoT-22 b,Transit,0.092000,0.001400,-0.001400,0,0.077000,0.300000,-0.042000,0,0,CoRoT
CoRoT-23,b,CoRoT-23 b,Transit,0.048000,0.004000,-0.004000,0,0.160000,0.020000,-0.020000,0,0,CoRoT
CoRoT-24,b,CoRoT-24 b,Transit,0.056000,0.002000,-0.002000,0,0.000000,,,0,0,CoRoT
CoRoT-24,c,CoRoT-24 c,Transit,0.098000,0.003000,-0.003000,0,0.000000,,,0,0,CoRoT
CoRoT-25,b,CoRoT-25 b,Transit,0.057800,0.002000,-0.000900,0,0.000000,,,0,0,CoRoT
CoRoT-26,b,CoRoT-26 b,Transit,0.052600,0.001000,-0.001000,0,0.000000,,,0,0,CoRoT
CoRoT-27,b,CoRoT-27 b,Transit,0.047600,0.006600,-0.006600,0,0.065000,,,1,0,CoRoT
CoRoT-28,b,CoRoT-28 b,Transit,0.060300,0.005000,-0.005000,0,0.047000,0.055000,-0.038000,0,0,CoRoT
CoRoT-29,b,CoRoT-29 b,Transit,0.038600,0.005900,-0.005900,0,0.082000,0.081000,-0.081000,0,0,CoRoT
CoRoT-3,b,CoRoT-3 b,Transit,,,,,0.000000,,,0,0,CoRoT
CoRoT-4,b,CoRoT-4 b,Transit,0.090000,0.001000,-0.001000,0,0.000000,0.100000,-0.100000,0,0,CoRoT
CoRoT-5,b,CoRoT-5 b,Transit,0.049470,0.000260,-0.000290,0,0.090000,0.090000,-0.040000,0,0,CoRoT
CoRoT-6,b,CoRoT-6 b,Transit,0.085500,0.001500,-0.001500,0,0.100000,,,1,0,CoRoT
CoRoT-7,b,CoRoT-7 b,Transit,,,,0,0.000000,,,0,0,CoRoT
CoRoT-7,c,CoRoT-7 c,Radial Velocity,0.046000,,,0,0.000000,,,0,0,CoRoT
CoRoT-8,b,CoRoT-8 b,Transit,0.063000,0.001000,-0.001000,0,0.000000,,,0,0,CoRoT
CoRoT-9,b,CoRoT-9 b,Transit,0.402100,0.005400,-0.005400,0,0.133000,0.042000,-0.037000,0,0,CoRoT
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,0.071000,0.001000,-0.001000,0,,,,0,0,CoRoT
DE CVn,b,DE CVn b,Eclipse Timing Variations,5.750000,2.020000,-2.020000,0,0.000000,,,0,1,Multiple Facilities
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,0.360000,0.010000,-0.010000,0,0.345000,0.068000,-0.064000,0,0,Paranal Observatory
DH Tau,b,DH Tau b,Imaging,330.000000,,,0,,,,,0,Subaru Telescope
DMPP-1,b,DMPP-1 b,Radial Velocity,0.146200,0.001200,-0.001200,0,0.083000,,,1,0,La Silla Observatory
DMPP-1,c,DMPP-1 c,Radial Velocity,0.073300,0.000600,-0.000700,0,0.057000,,,1,0,La Silla Observatory
DMPP-1,d,DMPP-1 d,Radial Velocity,0.042200,0.000400,-0.000300,0,0.070000,,,1,0,La Silla Observatory
DMPP-1,e,DMPP-1 e,Radial Velocity,0.065100,0.000500,-0.000500,0,0.070000,,,1,0,La Silla Observatory
DMPP-2,b,DMPP-2 b,Radial Velocity,0.066400,0.000500,-0.000500,0,0.078000,,,0,0,Multiple Facilities
DMPP-3 A,b,DMPP-3 A b,Radial Velocity,0.066200,0.001300,-0.001300,0,0.140000,0.091000,-0.053000,0,0,La Silla Observatory
DP Leo,b,DP Leo b,Eclipse Timing Variations,8.190000,0.390000,-0.390000,0,0.390000,0.130000,-0.130000,0,1,Yunnan Astronomical Observatory
DS Tuc A,b,DS Tuc A b,Transit,,,,0,0.000000,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201238110,b,EPIC 201238110 b,Transit,,,,0,,,,0,0,K2
EPIC 201497682,b,EPIC 201497682 b,Transit,,,,0,,,,0,0,K2
K2-166,c,EPIC 201615463 c,Transit,,,,0,,,,0,0,K2
K2-16,d,EPIC 201754305 d,Transit,,,,0,,,,0,0,K2
K2-50,c,EPIC 201833600 c,Transit,,,,0,,,,0,0,K2
EPIC 201841433,b,EPIC 201841433 b,Transit,,,,0,,,,0,0,K2
K2-168,c,EPIC 205950854 c,Transit,,,,0,,,,0,0,K2
EPIC 206024342,b,EPIC 206024342 b,Transit,,,,0,,,,0,0,K2
EPIC 206032309,b,EPIC 206032309 b,Transit,,,,0,,,,0,0,K2
EPIC 206042996,b,EPIC 206042996 b,Transit,,,,0,,,,0,0,K2
EPIC 206215704,b,EPIC 206215704 b,Transit,,,,0,,,,0,0,K2
EPIC 206317286,b,EPIC 206317286 b,Transit,,,,0,,,,0,0,K2
EPIC 211822797,b,EPIC 211822797 b,Transit,0.131000,0.004000,-0.005000,0,0.060000,0.135970,-0.048705,0,0,K2
EPIC 211945201,b,EPIC 211945201 b,Transit,0.149300,0.001500,-0.001500,0,,,,0,0,K2
EPIC 212297394,b,EPIC 212297394 b,Transit,,,,0,,,,0,0,K2
EPIC 212424622,b,EPIC 212424622 b,Transit,,,,0,,,,0,0,K2
EPIC 212499991,b,EPIC 212499991 b,Transit,,,,0,,,,0,0,K2
EPIC 212587672,b,EPIC 212587672 b,Transit,,,,0,,,,0,0,K2
EPIC 212737443,b,EPIC 212737443 b,Transit,0.098000,0.004000,-0.004000,0,0.200000,0.200000,-0.200000,0,0,K2
EPIC 212737443,c,EPIC 212737443 c,Transit,0.280000,0.006000,-0.006000,0,0.200000,0.200000,-0.200000,0,0,K2
K2-282,c,EPIC 220554210 c,Transit,,,,0,,,,0,0,K2
EPIC 220674823,b,EPIC 220674823 b,Transit,0.013400,0.000200,-0.000200,0,,,,0,0,K2
EPIC 220674823,c,EPIC 220674823 c,Transit,0.109100,0.001400,-0.001500,0,,,,0,0,K2
EPIC 246851721,b,EPIC 246851721 b,Transit,0.072290,0.000740,-0.000750,0,,,,0,0,K2
EPIC 248847494,b,EPIC 248847494 b,Transit,4.500000,1.000000,-1.000000,0,0.000000,,,0,0,K2
EPIC 249893012,b,EPIC 249893012 b,Transit,0.047000,0.005000,-0.007000,0,0.060000,0.080000,-0.040000,0,0,K2
EPIC 249893012,c,EPIC 249893012 c,Transit,0.130000,0.010000,-0.020000,0,0.070000,0.080000,-0.050000,0,0,K2
EPIC 249893012,d,EPIC 249893012 d,Transit,0.220000,0.020000,-0.040000,0,0.150000,0.210000,-0.110000,0,0,K2
FU Tau,b,FU Tau b,Imaging,800.000000,,,0,,,,,0,Spitzer Space Telescope
Fomalhaut,b,Fomalhaut b,Imaging,160.000000,33.000000,-79.000000,0,0.870000,0.110000,-0.050000,0,0,Hubble Space Telescope
G 9-40,b,G 9-40 b,Transit,0.038500,0.007800,-0.005300,0,0.000000,,,0,0,K2
GJ 1061,b,GJ 1061 b,Radial Velocity,0.021000,0.001000,-0.001000,0,0.310000,,,1,0,La Silla Observatory
GJ 1061,c,GJ 1061 c,Radial Velocity,0.035000,0.001000,-0.001000,0,0.290000,,,1,0,La Silla Observatory
GJ 1061,d,GJ 1061 d,Radial Velocity,0.054000,0.001000,-0.001000,0,0.530000,,,1,0,La Silla Observatory
GJ 1132,b,GJ 1132 b,Transit,0.015300,0.000500,-0.000500,0,0.220000,,,1,0,Cerro Tololo Inter-American Observatory
GJ 1132,c,GJ 1132 c,Radial Velocity,0.047600,0.001700,-0.001700,0,0.270000,,,1,0,La Silla Observatory
GJ 1148,b,GJ 1148 b,Radial Velocity,0.166000,0.001000,-0.001000,0,0.380000,0.010000,-0.012000,0,0,W. M. Keck Observatory
GJ 1148,c,GJ 1148 c,Radial Velocity,0.912000,0.005000,-0.002000,0,0.342000,0.050000,-0.062000,0,0,Calar Alto Observatory
GJ 1214,b,GJ 1214 b,Transit,0.014110,0.000320,-0.000320,0,,,,,0,MEarth Project
GJ 1252,b,GJ 1252 b,Transit,0.009160,0.000760,-0.000760,0,0.000000,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265,b,GJ 1265 b,Radial Velocity,0.026000,0.001000,-0.001000,0,0.040000,0.040000,-0.040000,0,0,Calar Alto Observatory
GJ 143,b,GJ 143 b,Transit,0.191500,0.005800,-0.006300,0,0.188000,0.076000,-0.078000,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A,b,GJ 15 A b,Radial Velocity,0.072000,0.003000,-0.004000,0,0.094000,0.091000,-0.065000,0,0,W. M. Keck Observatory
GJ 15 A,c,GJ 15 A c,Radial Velocity,5.400000,1.000000,-0.900000,0,0.270000,0.280000,-0.190000,0,0,Roque de los Muchachos Observatory
GJ 160.2,b,GJ 160.2 b,Radial Velocity,0.053000,0.004000,-0.007000,0,0.060000,0.200000,-0.060000,0,0,Multiple Observatories
GJ 163,b,GJ 163 b,Radial Velocity,0.060700,0.000010,-0.000010,0,0.073000,0.050000,-0.050000,0,0,La Silla Observatory
GJ 163,c,GJ 163 c,Radial Velocity,0.125400,0.000100,-0.000100,0,0.099000,0.086000,-0.086000,0,0,La Silla Observatory
GJ 163,d,GJ 163 d,Radial Velocity,1.030400,0.008600,-0.008600,0,0.373000,0.077000,-0.077000,0,0,La Silla Observatory
GJ 179,b,GJ 179 b,Radial Velocity,2.410000,0.040000,-0.040000,0,0.210000,0.080000,-0.080000,0,0,W. M. Keck Observatory
GJ 180,b,GJ 180 b,Radial Velocity,0.092000,0.003000,-0.003000,0,0.070000,0.040000,-0.040000,0,0,Multiple Observatories
GJ 180,c,GJ 180 c,Radial Velocity,0.129000,0.007000,-0.017000,0,0.090000,0.200000,-0.090000,0,0,Multiple Observatories
GJ 180,d,GJ 180 d,Radial Velocity,0.309000,0.010000,-0.010000,0,0.140000,0.040000,-0.040000,0,0,Multiple Facilities
GJ 229,c,GJ 229 A c,Radial Velocity,0.339000,0.011000,-0.011000,0,0.190000,0.080000,-0.080000,0,0,Multiple Facilities
GJ 229,b,GJ 229 b,Radial Velocity,0.898000,0.031000,-0.031000,0,0.100000,0.060000,-0.060000,0,0,Multiple Observatories
GJ 27.1,b,GJ 27.1 b,Radial Velocity,0.101000,0.009000,-0.013000,0,0.080000,0.180000,-0.080000,0,0,Multiple Observatories
GJ 273,b,GJ 273 b,Radial Velocity,0.091101,0.000019,-0.000017,0,0.100000,0.090000,-0.070000,0,0,La Silla Observatory
GJ 273,c,GJ 273 c,Radial Velocity,0.036467,0.000002,-0.000002,0,0.170000,0.130000,-0.120000,0,0,La Silla Observatory
GJ 3021,b,GJ 3021 b,Radial Velocity,0.490000,,,0,0.511000,0.017000,-0.017000,0,0,La Silla Observatory
GJ 3082,b,GJ 3082 b,Radial Velocity,0.079000,0.003000,-0.003000,0,0.220000,0.110000,-0.110000,0,0,Multiple Facilities
GJ 3138,b,GJ 3138 b,Radial Velocity,0.019700,0.000500,-0.000500,0,0.190000,0.180000,-0.130000,0,0,La Silla Observatory
GJ 3138,c,GJ 3138 c,Radial Velocity,0.057000,0.001000,-0.001000,0,0.110000,0.110000,-0.070000,0,0,La Silla Observatory
GJ 3138,d,GJ 3138 d,Radial Velocity,0.698000,0.018000,-0.019000,0,0.320000,0.200000,-0.210000,0,0,La Silla Observatory
GJ 317,b,GJ 317 b,Radial Velocity,1.150000,0.050000,-0.050000,0,0.110000,0.050000,-0.050000,0,0,W. M. Keck Observatory
GJ 317,c,GJ 317 c,Radial Velocity,,,,0,0.308000,0.065000,-0.079000,0,0,W. M. Keck Observatory
GJ 328,b,GJ 328 b,Radial Velocity,4.500000,0.200000,-0.200000,0,0.370000,0.050000,-0.050000,0,0,McDonald Observatory
GJ 3293,b,GJ 3293 b,Radial Velocity,0.143390,0.000030,-0.000030,0,0.060000,0.040000,-0.040000,0,0,La Silla Observatory
GJ 3293,c,GJ 3293 c,Radial Velocity,0.361750,0.000480,-0.000470,0,0.110000,0.100000,-0.080000,0,0,La Silla Observatory
GJ 3293,d,GJ 3293 d,Radial Velocity,0.193940,0.000170,-0.000180,0,0.120000,0.130000,-0.090000,0,0,La Silla Observatory
GJ 3293,e,GJ 3293 e,Radial Velocity,0.082080,0.000030,-0.000040,0,0.210000,0.200000,-0.140000,0,0,La Silla Observatory
GJ 3323,b,GJ 3323 b,Radial Velocity,0.032820,0.000540,-0.000560,0,0.230000,0.110000,-0.110000,0,0,La Silla Observatory
GJ 3323,c,GJ 3323 c,Radial Velocity,0.126400,0.002100,-0.002200,0,0.170000,0.210000,-0.120000,0,0,La Silla Observatory
GJ 3341,b,GJ 3341 b,Radial Velocity,0.089000,,,0,0.310000,0.110000,-0.110000,0,0,La Silla Observatory
GJ 3470,b,GJ 3470 b,Radial Velocity,0.035500,0.001900,-0.001900,0,,,,,0,La Silla Observatory
GJ 3512,b,GJ 3512 b,Radial Velocity,0.338000,0.008000,-0.008400,0,0.435600,0.004200,-0.004200,0,0,Calar Alto Observatory
GJ 357,b,GJ 357 b,Transit,0.035000,0.002000,-0.002000,0,,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 357,c,GJ 357 c,Radial Velocity,0.061000,0.004000,-0.004000,0,,,,0,0,Multiple Observatories
GJ 357,d,GJ 357 d,Radial Velocity,0.204000,0.015000,-0.015000,0,,,,0,0,Multiple Observatories
GJ 3634,b,GJ 3634 b,Radial Velocity,0.028700,0.001000,-0.001100,0,0.080000,0.094000,-0.057000,0,0,La Silla Observatory
GJ 3779,b,GJ 3779 b,Radial Velocity,0.026000,0.001000,-0.001000,0,0.070000,0.050000,-0.050000,0,0,Calar Alto Observatory
GJ 3942,b,GJ 3942 b,Radial Velocity,0.060800,0.006800,-0.006800,0,0.121000,0.118000,-0.118000,0,0,Roque de los Muchachos Observatory
GJ 3998,b,GJ 3998 b,Radial Velocity,0.029000,0.001000,-0.001000,0,0.000000,,,0,0,Roque de los Muchachos Observatory
GJ 3998,c,GJ 3998 c,Radial Velocity,0.089000,0.003000,-0.003000,0,0.049000,0.052000,-0.034000,0,0,Roque de los Muchachos Observatory
GJ 411,b,GJ 411 b,Radial Velocity,0.078500,0.002700,-0.002700,0,0.220000,0.130000,-0.130000,0,0,Haute-Provence Observatory
GJ 422,b,GJ 422 b,Radial Velocity,0.111000,0.004000,-0.004000,0,0.110000,0.040000,-0.040000,0,0,Multiple Observatories
GJ 4276,b,GJ 4276 b,Radial Velocity,0.082000,0.002000,-0.002000,0,0.370000,0.030000,-0.030000,0,0,Calar Alto Observatory
GJ 433,b,GJ 433 b,Radial Velocity,0.062000,0.002000,-0.002000,0,0.040000,0.030000,-0.030000,0,0,La Silla Observatory
GJ 433,c,GJ 433 c,Radial Velocity,4.819000,0.417000,-0.417000,0,0.120000,0.070000,-0.070000,0,0,Multiple Observatories
GJ 433,d,GJ 433 d,Radial Velocity,0.178000,0.006000,-0.006000,0,0.070000,0.050000,-0.050000,0,0,Multiple Facilities
